run_id,algorithm,graph,params,runtime_s,status,n_clusters,n_noise,noise_pct,max_cluster_pct,median_cluster_size
kmeans__none__n_clusters100,kmeans,none,"{""n_clusters"": 100}",0.0,cached,100,0,0.0,2.077,127.5
kmeans__none__n_clusters150,kmeans,none,"{""n_clusters"": 150}",0.0,cached,150,0,0.0,1.519,85.5
kmeans__none__n_clusters200,kmeans,none,"{""n_clusters"": 200}",0.0,cached,200,0,0.0,1.399,64.0
kmeans__none__n_clusters250,kmeans,none,"{""n_clusters"": 250}",0.0,cached,250,0,0.0,0.938,50.5
kmeans__none__n_clusters300,kmeans,none,"{""n_clusters"": 300}",0.0,cached,300,0,0.0,0.878,43.0
dbscan__none__eps1500_min_samples3,dbscan,none,"{""eps"": 1500, ""min_samples"": 3}",0.0,cached,1316,5511,41.023,0.439,4.0
dbscan__none__eps1500_min_samples5,dbscan,none,"{""eps"": 1500, ""min_samples"": 5}",0.0,cached,442,9948,74.051,0.417,6.0
dbscan__none__eps2500_min_samples3,dbscan,none,"{""eps"": 2500, ""min_samples"": 3}",0.0,cached,918,2192,16.317,3.432,5.0
dbscan__none__eps2500_min_samples5,dbscan,none,"{""eps"": 2500, ""min_samples"": 5}",0.0,cached,582,4408,32.812,2.159,8.0
dbscan__none__eps3500_min_samples3,dbscan,none,"{""eps"": 3500, ""min_samples"": 3}",0.0,cached,610,1158,8.62,11.002,6.0
dbscan__none__eps3500_min_samples5,dbscan,none,"{""eps"": 3500, ""min_samples"": 5}",0.0,cached,398,2379,17.709,9.327,10.0
dbscan__none__eps5000_min_samples3,dbscan,none,"{""eps"": 5000, ""min_samples"": 3}",0.0,cached,328,557,4.146,19.093,7.0
dbscan__none__eps5000_min_samples5,dbscan,none,"{""eps"": 5000, ""min_samples"": 5}",0.0,cached,243,1099,8.181,18.959,10.0
hdbscan__none__cluster_selection_methodeom_min_cluster_size5_min_samples1,hdbscan,none,"{""min_cluster_size"": 5, ""min_samples"": 1, ""cluster_selection_method"": ""eom""}",0.0,cached,1068,2003,14.91,0.662,8.0
hdbscan__none__cluster_selection_methodeom_min_cluster_size5_min_samples3,hdbscan,none,"{""min_cluster_size"": 5, ""min_samples"": 3, ""cluster_selection_method"": ""eom""}",0.0,cached,774,2938,21.87,0.878,10.0
hdbscan__none__cluster_selection_methodeom_min_cluster_size5_min_samples5,hdbscan,none,"{""min_cluster_size"": 5, ""min_samples"": 5, ""cluster_selection_method"": ""eom""}",0.0,cached,517,3744,27.87,1.064,12.0
