run_id,algorithm,graph,status,n_clusters,noise_pct,max_cluster_pct,median_cluster_size,silhouette,silhouette_lo,silhouette_hi,davies_bouldin,calinski_harabasz,bb_join_ratio,bb_join_p,intra_inter_ratio,detection_rate,single_cluster_rate,tight_placement_rate,area_accuracy_rate,median_area_ratio,median_nearest_km,metrics_runtime_s
kmeans__none__n_clusters100,kmeans,none,cached,100,0.0,2.077,127.5,0.40088577050665464,0.3949134448008868,0.40625918600656913,0.773328013175227,40380.45224827953,0.9847123268053417,0.0,0.05617303175197095,100.0,90.0,10.0,65.0,1.61,11.51,21.47
kmeans__none__n_clusters150,kmeans,none,cached,150,0.0,1.519,85.5,0.40899001906851007,0.4021913424312515,0.41382413150103586,0.7725914417256274,43179.89471377715,0.9813468905517168,0.0,0.04514351719561308,100.0,80.0,25.0,75.0,1.1,8.42,19.29
kmeans__none__n_clusters200,kmeans,none,cached,200,0.0,1.399,64.0,0.41003929732564376,0.40373501231602044,0.4133656769053859,0.7530967042516223,45211.7374170371,0.9780530593247646,0.0,0.038534284104042214,100.0,80.0,55.0,80.0,0.85,4.75,18.06
kmeans__none__n_clusters250,kmeans,none,cached,250,0.0,0.938,50.5,0.41294670206152295,0.4059772730275964,0.4179118272264358,0.7495304028892408,47564.808382525975,0.9735419426443737,0.0,0.03367700154591517,100.0,65.0,45.0,80.0,0.86,5.15,17.42
kmeans__none__n_clusters300,kmeans,none,cached,300,0.0,0.878,43.0,0.4124099443247724,0.40844842759558897,0.4182979411090155,0.7487439716273397,49143.19273809724,0.9681357631305718,0.0,0.02986842155031852,100.0,50.0,50.0,75.0,0.81,4.98,17.03
dbscan__none__eps1500_min_samples3,dbscan,none,cached,1316,41.023,0.439,4.0,0.5300278733207356,0.526285633612963,0.5385327833235597,0.4480863010099275,122970.12067215053,0.7038774121943361,0.0,0.009235351683711668,80.0,20.0,80.0,15.0,0.11,2.85,7.01
dbscan__none__eps1500_min_samples5,dbscan,none,cached,442,74.051,0.417,6.0,0.6837210900439763,0.6837210900439703,0.6837210900439847,0.36335226952569016,269396.62254622707,0.40879309727542873,0.0,0.006652034802624624,50.0,15.0,45.0,5.0,0.06,2.99,3.26
dbscan__none__eps2500_min_samples3,dbscan,none,cached,918,16.317,3.432,5.0,0.2498171361668958,0.2369565646481897,0.2683654827791192,0.5171596587978329,11642.67323474569,0.9837098564319215,0.0,0.05138963367519245,100.0,55.0,65.0,75.0,0.46,4.03,13.98
dbscan__none__eps2500_min_samples5,dbscan,none,cached,582,32.812,2.159,8.0,0.3970972235357891,0.39152939812081433,0.4045313081416128,0.5090565671404007,31712.838961103855,0.8930936951774014,0.0,0.033815062602433395,95.0,70.0,60.0,50.0,0.31,3.55,11.01
dbscan__none__eps3500_min_samples3,dbscan,none,cached,610,8.62,11.002,6.0,0.050188764633038604,0.03452827387468269,0.06504731194658243,0.5958310618191667,2990.913729539389,0.9931975224660771,0.0,0.13265842577209344,100.0,85.0,50.0,65.0,0.79,5.01,19.99
dbscan__none__eps3500_min_samples5,dbscan,none,cached,398,17.709,9.327,10.0,0.1585832702915461,0.15319435325301015,0.16313590958889107,0.563808860363307,5950.617175289779,0.9583258744763883,0.0,0.12018492434013732,95.0,80.0,35.0,75.0,0.79,7.19,17.8
dbscan__none__eps5000_min_samples3,dbscan,none,cached,328,4.146,19.093,7.0,-0.10275115003156074,-0.10890081032006144,-0.09244637573027309,0.6575423548506312,1742.6995086092813,0.996956786366403,0.0,0.19021945620028313,100.0,100.0,30.0,60.0,2.04,13.37,25.83
dbscan__none__eps5000_min_samples5,dbscan,none,cached,243,8.181,18.959,10.0,-0.06605359899381022,-0.07363507371683922,-0.05411608691823478,0.6796550803946054,2169.764713452508,0.9851061544520425,0.0,0.1926657202352437,100.0,100.0,30.0,60.0,2.04,13.28,25.39
hdbscan__none__cluster_selection_methodeom_min_cluster_size5_min_samples1,hdbscan,none,cached,1068,14.91,0.662,8.0,0.44791264890494265,0.4409192754021877,0.46065685288512,0.6221126253375096,60488.65914252474,0.8792381225162006,0.0,0.014983929699768698,100.0,50.0,85.0,45.0,0.2,2.89,10.58
hdbscan__none__cluster_selection_methodeom_min_cluster_size5_min_samples3,hdbscan,none,cached,774,21.87,0.878,10.0,0.476028349237364,0.47132986306663527,0.48399521846712035,0.5571709824207379,46556.00907158733,0.8644516845082525,0.0,0.020180139410348165,100.0,60.0,80.0,50.0,0.3,3.22,10.56
hdbscan__none__cluster_selection_methodeom_min_cluster_size5_min_samples5,hdbscan,none,cached,517,27.87,1.064,12.0,0.4717878391702647,0.46810056071005474,0.47620380712277577,0.5360180876204456,39288.72938076572,0.8351294260857112,0.0,0.02642748941062656,95.0,65.0,55.0,60.0,0.6,3.72,10.97
hdbscan__none__cluster_selection_methodeom_min_cluster_size10_min_samples1,hdbscan,none,cached,478,17.791,1.184,17.0,0.42957439300188655,0.4213289514022746,0.4338373862007548,0.6679490039519921,40121.345562043985,0.9039060542050051,0.0,0.027214741232114054,100.0,65.0,55.0,70.0,0.49,4.25,12.89
hdbscan__none__cluster_selection_methodeom_min_cluster_size10_min_samples3,hdbscan,none,cached,387,19.942,3.446,18.0,0.4021357045282758,0.391238988276245,0.40903398585347894,0.6397232520646462,30777.52141324845,0.9027245712649028,0.0,0.04608744733825694,95.0,75.0,50.0,55.0,0.6,4.98,13.43
hdbscan__none__cluster_selection_methodeom_min_cluster_size10_min_samples5,hdbscan,none,cached,315,27.081,3.484,22.0,0.45719144412424234,0.4521003826213718,0.4642347161791366,0.5965402129278602,33326.43371989604,0.8531380902939386,0.0,0.041409959634627985,90.0,70.0,45.0,65.0,0.65,4.64,12.61
hdbscan__none__cluster_selection_methodeom_min_cluster_size15_min_samples1,hdbscan,none,cached,293,18.453,3.58,28.0,0.4012569282307365,0.393141170732028,0.40684473713510744,0.7006148514744812,32454.417293380593,0.9036196340983137,0.0,0.04464823840215883,100.0,75.0,50.0,65.0,0.57,4.87,14.82
